Utc,Bsp,Awa,Aws,Twa,Tws,Twd,Rudder2,Leeway,iSet,iDrift,Hdg,AirTmp,SeaTmp,Baro,Depth,Heel,Trim,Rudder,Tab,Forestay,Downhaul,MastAng,FrstyLen,MastButt,StbJmpr,PrtJmpr,Rake,Volts,ROT,GpsQual,PDOP,GpsNum,GpsAge,GpsGeoHt,GpsAntHt,GpsPosFx,Lat,Lon,Cog,Sog
38516.38956,4.809,-20.7,11.74,-34.1,7.44,143.9,,-1.93,255.2,0.072,174.8,,,,18.41,-5.2,,,,,,,,,,,,,,,,,,,,,39.398773,-0.298636,179.9,4.7
38516.38957,4.82,-20.1,11.75,-32.5,7.34,144.1,,-1.75,255.2,0.072,173.7,,,,18.38,-4.4,,,,,,,,,,,,,,,,,,,,,39.398746,-0.298633,179.5,4.8
38516.38958,4.846,-18.8,11.78,-31.4,7.38,144.6,,-1.53,241.3,0.08,172.6,,,,18.35,-3.7,,,,,,,,,,,,,,,,,,,,,39.398724,-0.298631,178.9,4.8
38516.3896,4.899,-18.2,11.91,-29.2,7.28,145.5,,-1.15,241.3,0.08,172.2,,,,18.41,-2.7,,,,,,,,,,,,,,,,,,,,,39.398705,-0.298628,177.6,4.9
38516.38961,4.904,-17.1,11.77,-28.7,7.24,145.6,,-1.18,234.8,0.067,172,,,,18.5,-3.5,,,,,,,,,,,,,,,,,,,,,39.398682,-0.298622,176.4,4.9
38516.38962,4.947,-17,11.88,-27.6,7.3,146.2,,-1,234.8,0.067,171.8,,,,18.53,-2,,,,,,,,,,,,,,,,,,,,,39.398659,-0.298619,175.5,4.9
38516.38963,4.909,-15.9,11.75,-27.1,7.22,146.6,,-1.33,230.5,0.061,171.4,,,,18.5,-3.5,,,,,,,,,,,,,,,,,,,,,39.39864,-0.298617,175.3,4.8
38516.38964,4.923,-15.4,11.91,-26,7.28,146.5,,-1.04,230.5,0.061,170.3,,,,18.47,-3.1,,,,,,,,,,,,,,,,,,,,,39.398613,-0.298611,175.8,4.8
38516.38965,4.91,-14.4,12.08,-24.1,7.42,147.4,,-0.76,225.3,0.056,169.2,,,,18.07,-0.9,,,,,,,,,,,,,,,,,,,,,39.398571,-0.298597,174.9,4.8
38516.38967,4.966,-13.6,11.62,-23.4,6.88,147.6,,-0.9,225.3,0.056,169.8,,,,18.07,-2.3,,,,,,,,,,,,,,,,,,,,,39.398548,-0.298594,172.7,4.8
38516.38968,4.852,-13.9,11.73,-23.9,7.42,146.9,,-1.15,233.4,0.049,169.5,,,,18.04,-4.4,,,,,,,,,,,,,,,,,,,,,39.398529,-0.298586,171.5,4.8
38516.38969,4.878,-15.1,12.25,-24.7,7.62,145.8,,-0.73,233.4,0.049,169,,,,17.71,-0.8,,,,,,,,,,,,,,,,,,,,,39.39851,-0.298578,172,4.7
38516.3897,4.848,-14.8,11.82,-24.9,6.99,146.2,,-1.68,271.3,0.015,170.2,,,,17.71,0,,,,,,,,,,,,,,,,,,,,,39.398487,-0.298575,170.4,4.6
38516.38971,4.814,-15,11.56,-25.2,7.05,146.6,,-1.43,271.3,0.015,171.3,,,,18.01,-4.7,,,,,,,,,,,,,,,,,,,,,39.398468,-0.298572,169,4.7
38516.38973,4.812,-15.5,11.59,-26,7.07,146.6,,-0.94,285.8,0.04,172,,,,18.01,-2.3,,,,,,,,,,,,,,,,,,,,,39.398449,-0.298569,169,4.7
38516.38974,4.773,-15.6,11.45,-26.3,6.91,146.9,,-0.73,285.8,0.04,172.9,,,,18.01,-1.8,,,,,,,,,,,,,,,,,,,,,39.39843,-0.298569,170.2,4.6
38516.38975,4.696,-15.6,11.36,-26.1,6.95,147.7,,-1.44,309.1,0.049,173.5,,,,17.98,-2.7,,,,,,,,,,,,,,,,,,,,,39.398415,-0.298569,170.7,4.6
38516.38976,4.69,-16,11.24,-27.4,6.72,147.7,,-1.87,309.1,0.049,174.6,,,,17.89,-3.4,,,,,,,,,,,,,,,,,,,,,39.398392,-0.298567,171.2,4.6
38516.38977,4.68,-16.8,11.08,-28.1,6.75,147.9,,-2.27,314,0.074,175.7,,,,17.86,-3.8,,,,,,,,,,,,,,,,,,,,,39.398373,-0.298567,171.9,4.6
38516.38979,4.679,-17.3,11.19,-29,6.88,148.4,,-2.1,314,0.074,176.4,,,,17.86,-4.9,,,,,,,,,,,,,,,,,,,,,39.39835,-0.298567,171.9,4.6
38516.3898,4.696,-17.2,11.26,-28.7,6.89,148.7,,-1.59,304.2,0.074,176.4,,,,17.95,-5.3,,,,,,,,,,,,,,,,,,,,,39.398327,-0.298567,175,4.6
38516.38981,4.784,-17.2,11.1,-29.3,6.69,148.5,,-1.48,304.2,0.074,176.8,,,,17.95,-3.5,,,,,,,,,,,,,,,,,,,,,39.398304,-0.298567,177.1,4.7
38516.38982,4.822,-17.1,11.26,-29.1,6.92,148.8,,-1.62,307,0.086,176.6,,,,17.92,-3.8,,,,,,,,,,,,,,,,,,,,,39.398281,-0.298564,177.3,4.7
38516.38983,4.879,-16.9,11.26,-28.9,6.72,148.9,,-1.76,307,0.086,176.2,,,,17.92,-4.7,,,,,,,,,,,,,,,,,,,,,39.398258,-0.298564,178.1,4.7
